nl_clip,regexp
"words that start with  'ach' and followed by 'i' and 't' and 'rh' and end with  'h' ,'n' or 'a'",ach.*i.*t.*rh.*[hna]
words that start with  'a' and followed by 'd' and end with  'ab',a.*d.*ab
words that start with  'a' and followed by 'd' and end with  'l',a.*d.*l
words that start with  'ad' and followed by 'n' and end with  'a' or 'ah',ad.*n.*(?:a|ah)
words that start with  'ad' and followed by 'r' and end with  'k',ad.*r.*k
words that start with  'afa' and followed by 'k' or 'q' and end with  'a',afa.*[kq].*a
words that start with  'afr' and end with  'at',afr.*at
words that start with  'afr' and followed by 'at' and 's' and end with  'y' or 'e' ,afr.*at.*s.*[ye]
words that start with  'afr' and end with  'n',afr.*n
words that start with  'afz' and end with  'a' or 'ah',afz.*(?:a|ah)
words that start with  'afz' and end with  'l',afz.*l
words that start with  'a' or 'e' and followed by 'h' and end with  'm',[ae].*h.*m
words that start with  'a' or 'e' and followed by 'h' and 'mi' and end with  'at',[ae].*h.*mi.*at
words that start with  'a' or 'e' or 'i' and followed by 'h' and 's' and end with  'an',[aei].*h.*s.*an
words that start with  'a' or 'e' or 'i' and followed by 'sa' and 'n m' or 'nm' and end with  'd',[aei].*sa.*(?:n m|nm).*d
words that start with  'a' or 'e' or 'i' and followed by 'sa' and 'n m' or 'nm' and end with  'di',[aei].*sa.*(?:n m|nm).*di
words that start with  'a' or 'e' and followed by 'h' and 't' and end with  'yaat' or 'yat',[ae].*h.*t.*(?:yaat|yat)
words that start with  'a' or 'e' and followed by 'h' and 't' and end with  'tan',[ae].*h.*t.*tan
words that start with  'a' or 'e' or 'i' and followed by 't' and 'r' and end with  'am',[aei].*t.*r.*am
words that start with  'a' or 'e' or 'i' and followed by 't' and 'r' and end with  'man',[aei].*t.*r.*man
words that start with  'a' and followed by 'k' and end with  'a',a.*k.*a
words that start with  'a' or 'e' and followed by 's' and end with  'r',[ae].*s.*r
words that start with  'a' and end with  'sh',a.*sh
words that start with  'a' and followed by 'sh' and end with  'krna' or 'karna',a.*sh.*(?:krna|karna)
words that start with  'a' and followed by 'sh' and 'o' and 'ish' or 'esh' and end with  'rat' or 'rt,a.*sh.*o.*(?:ish|esh).*rat
words that start with  'a' or 'e' and followed by 'tb' and end with  'r',[ae].*tb.*r
words that start with  'a' or 'e' and followed by 't' and 'm' and end with  'ad',[ae].*t.*m.*ad
words that start with  'a' or 'e' and followed by 'tra' and end with  'f',[ae].*tra.*f
words that start with  'a' and followed by 'j' and end with  'b',a.*j.*b
words that start with  'a' and followed by 'j' and end with  'r',a.*j.*r
words that start with  'a' and followed by 'j' and end with  'ba',a.*j.*ba
words that start with  'ak' and end with  'th' or 'the',ak.*(?:th|the)
words that start with  'a' or 'e' and followed by 'm' and end with  'n',[ae].*m.*n
words that start with  'a' or 'e' and followed by 'li' and 'maq' and end with  'am',[ae].*li.*maq.*am
words that start with  'ama' and followed by 'd' and end with  'a' or 'ah',ama.*d.*(?:a|ah)
words that start with  'a' and followed by 'm' and end with  'n',a.*m.*n
words that start with  'a' and followed by 'mana' and end with  't',a.*mana.*t
words that start with  'am' and followed by 'n' and 'p' and 's' and 'n' and end with  'dana',am.*n.*p.*s.*n.*dana
words that start with  'am' and followed by 'n' and 'p' and end with  'sandi',am.*n.*p.*sandi
words that start with  'ankho' and followed by 'ka ta' and end with  'ra',ankho.*ka ta.*ra
words that start with  'a' or 'u' and followed by 'nm' and end with  'l',[au].*nm.*l
words that start with  'a' and followed by 'p' and end with  'na',a.*p.*na
words that start with  'ap' and followed by 'na' and 'p' and end with  'n',ap.*na.*p.*n
words that start with  'a' and followed by 'q' and end with  'l',a.*q.*l
words that start with  'aq' and followed by 'l o'  and 'd' and end with  'nish',aq.*l o.*d.*nish
words that start with  'aq' and followed by 'l m'  and 'n' and end with  'dana',aq.*l m.*n.*dana
words that start with  'a' and followed by 'q' and end with  'l',a.*q.*l
words that start with  'a' or'e' or 'i' and followed by 'qrar',[aei].*qrar
words that start with  'a' or'e' or 'i' and followed by 'qrar' and end with  'i',[aei].*qrar.*i
words that start with  'a' and followed by 'r' and end with  'm',a.*r.*m
words that start with  'a' and followed by 'r' and 'm' and end with  'deh',a.*r.*m.*deh
words that start with  'a' and followed by 'ra' and 'm p' and end with  'chana',a.*ra.*m p.*chana
words that start with  'a' or 'i' and followed by 'r' and 'f' and end with  'a' or 'ah',[ai].*r.*f.*(?:a|ah)
words that start with  'a' and followed by 'r' and 'm' and end with  'n',a.*r.*m.*n
words that start with  'ar' and followed by 'z' and end with  'u' or 'o',ar.*z.*[uo]
words that start with  'as' and end with  'r',as.*r
words that start with  'as' and followed by 'r' and 'paz' and end with  'r',as.*r.*paz.*r
words that start with  'a' or 'i' and followed by 's' and end with  'bati',[ai].*s.*bati
words that start with  'a' and followed by 'sh' and end with  'ab',a.*sh.*ab
words that start with  'a' and followed by 's' and end with  'li',a.*s.*li
words that start with  'a' or 'i' and followed by 'sm' and end with  't',[ai].*sm.*t
words that start with  'as' and followed by 'd' and end with  'ah' or 'a',as.*d.*(?:a|ah)
words that start with  'a' and followed by 't' and end with  'ya',a.*t.*ya
words that start with  'a' and followed by 't' and end with  'ya',a.*t.*ya
words that start with  'a' or 'o' or 'u' and followed by 'jag' and end with  'r',[aou].*jag.*r
words that start with  'a' and followed by 'w' and end with  'l',a.*w.*l
words that start with  'az' and followed by 'h' and 'd' and 'kh' and end with  'shi',az.*h.*d.*kh.*shi
words that start with  'a' and followed by 'z' and end with  'd',a.*z.*d
words that start with  'a' and followed by 'z' and end with  'di',a.*z.*di
words that start with  'a' and followed by 'z' and end with  'm',a.*z.*m
words that start with  'a' and followed by 'z' and 'm' and end with  'shan',a.*z.*m.*shan
words that start with  'a' and followed by 'z' and end with  'z',a.*z.*z
words that start with  'a' and followed by 'z' and end with  'z',a.*z.*z
words that start with  'a' and followed by 'z' and 'm' and end with  't',a.*z.*m.*t
words that start with  'azr' and followed by 'e' and 'nawaz' and end with  'ish',azr.*e.*nawaz.*ish
words that start with  'ba' and followed by 'd' and 'b',ba.*d.*b
words that start with  'ba' and followed by 'sa' and 'ni',ba.*sa.*ni
words that start with  'ba' and followed by 'z' and 'm' and end with  't',ba.*z.*m.*t
words that start with  'ba' and followed by 'b' and 'rk' or 'rq' and end with  't',ba.*b.*(?:rk|rq).*t
words that start with  'ba' and followed by 'kh' and end with  'laq',ba.*kh.*laq
words that start with  'ba' and followed by 'gh' and 'r',ba.*gh.*r
words that start with  'ba' and followed by 'h' and 'y' and end with  'a',ba.*h.*y.*a
words that start with  'ba' and followed by 'h' and 's' and end with  'at',ba.*h.*s.*at
words that start with  'ba' and followed by 'him' and end with  't',ba.*him.*t
words that start with  'ba' and followed by 'i' or 'e' and 'l' and end with  'm',ba.*[ie].*l.*m
words that start with  'ba' and followed by 'k' and 'm' and end with  'l',ba.*k.*m.*l
words that start with  'ba' and followed by 'k' and 's' and end with  'rat',ba.*k.*s.*rat
words that start with  'ba' and followed by 'kh' and 'b' and end with  'r',ba.*kh.*b.*r
words that start with  'ba' and followed by 'khab' and end with  'ri' or 're',ba.*khab.*(?:ri|re)
words that start with  'ba' and followed by 'kird' and end with  'r',ba.*kird.*r
words that start with  'ba' and followed by 'ma' and end with  'ni',ba.*ma.*ni
words that start with  'ba' and followed by 'm' and 'qs' and end with  'd',ba.*m.*qs.*d
words that start with  'ba' and followed by 'm' and 'r' and end with  'd',ba.*m.*r.*d
words that start with  'ba' and followed by 'nas' and end with  'b',ba.*nas.*b
words that start with  'ba' and followed by 'tart' and end with  'b',ba.*tart.*b
words that start with  'ba' and followed by 'as' and end with  'l',ba.*as.*l
words that start with  'ba' and followed by 'waq' and end with  'r',ba.*waq.*r
words that start with  'ba' and followed by 'sala' and end with  'hiyat',ba.*sala.*hiyat
words that start with  'ba' and followed by 'tr' and 'q' and 'ahs' and end with  'n',ba.*tr.*q.*ahs.*n
words that start with  'ba' and followed by 'd' and 'sab' and 'ahs' and end with  'a',ba.*d.*sab.*ahs.*a
words that start with  'ba'  and end with  'g' or 'gh',ba.*(?:g|gh)
words that start with  'ba' and followed by 'g' and 'riz' and end with  'n',ba.*g.*riz.*n
words that start with  'ba' and followed by 'ch' and end with  't',ba.*ch.*t
words that start with  'ba' and followed by 'r' or 'd' and end with  'i',ba.*[rd].*i
words that start with  'bad' and followed by 'la',bad.*la
words that start with  'bad' and followed by 'sh' and end with  'hi',bad.*sh.*hi
words that start with  'bah sah' and end with  'lat',bah sah.*lat
words that start with  'ba' and followed by 'ha' and end with  'al',ba.*ha.*al
words that start with  'ba' and followed by 'ha' and 'd' and end with  'r',ba.*ha.*d.*r
words that start with  'ba' and followed by 'ha' and 'd' and end with  'ri' or 're',ba.*ha.*d.*(?:ri|re)
words that start with  'baham' and followed by 'it'  and end with  'faq',baham.*it.*faq
words that start with  'bah' and followed by 'sh' and end with  't',bah.*sh.*t
words that start with  'ba' and followed by 'ja' and 'l' and end with  'ana',ba.*ja.*l.*ana
words that start with  'ba' and followed by 'kh' and end with  'r',ba.*kh.*r
words that start with  'bakh' and followed by 'r o' and 'kh' and end with  'bi',bakh.*r o.*kh.*bi
words that start with  'ba' and followed by 'kh' and end with  'bi',ba.*kh.*bi
words that start with  'b' and followed by 'k' and 'sh' and end with  'sh',b.*k.*sh.*sh
words that start with  'b' and followed by 'k' and 'sh' and end with  'na',b.*k.*sh.*na
words that start with  'ba' and followed by 'la' or 'd' and end with  'sti',ba.*(?:d|la).*sti
words that start with  'ba' and followed by 'la' and 't' and end with  'r',ba.*la.*t.*r
words that start with  'ba' and followed by 'l' and end with  'gh',ba.*l.*gh
words that start with  'b' and followed by 'nda' and 'pr' or 'par' and 'w' and end with  'r',b.*nda.*(?:pr|par).*w.*r
words that start with  'ba' and followed by 'k' or 'q' and end with  'da',ba.*[kq].*da
words that start with  'baqa' and followed by 'd' and end with  'gi',baqa.*d.*gi
words that start with  'b' and followed by 'r' and 'm' and 'h' and end with  'l',b.*r.*m.*h.*l
words that start with  'b' and followed by 'r w' and 'q' or 'k' and end with  't',b.*r w.*[qk].*t
words that start with  'b' and followed by 'r' and 'd' and end with  'a',b.*r.*d.*a
words that start with  'b' and followed by 'r' and 'aad' or 'ad' and end with  'mi',b.*r.*(?:aad|ad).*mi
words that start with  'b' and followed by 'r' and 'd' and end with  'l',b.*r.*d.*l
words that start with  'b' and followed by 'r' and 'k' and end with  'm',b.*r.*k.*m
words that start with  'b' and followed by 'rab' and end with  'r',b.*rab.*r
words that start with  'b' and followed by 'rab' and end with  're' or 'ri',b.*rab.*(?:re|ri)
words that start with  'b' and followed by 'r' and end with  'dr' or 'dar',b.*r.*(?:dr|dar)
words that start with  'b' and followed by 'r' and 'd' and end with  'ana',b.*r.*d.*ana
words that start with  'b' and followed by 'rah'  and 'k'  and 'r' and end with  'm',b.*rah.*k.*r.*m
words that start with  'b' and followed by 'r' and 'd' and end with  'i',b.*r.*d.*i
words that start with  'b' and followed by 'rd' or 'rad' and end with  'sht',b.*(?:rd|rad).*sht
words that start with  'b' and followed by 'r' and 'e' or 'i' and end with  'k',b.*r.*[ei].*k
words that start with  'b' and followed by 'r' and 'j' and end with  'na',b.*r.*j.*na
words that start with  'b' and followed by 'r' or 'd'  and 'ho' or 'hu'  and end with  'a',b.*[rd].*(?:ho|hu).*a
words that start with  'b' and followed by 'r' or 'd' and end with  'ana',b.*[rd].*ana
words that start with  'b' and followed by 'r' or 'd' and 'n' and 'k' and end with  'kabil' or 'qabil',b.*[rd].*n.*k.*(?:kabil|qabil)
words that start with  'b' and followed by 'rk' or 'rq' and end with  't',b.*(?:rk|rq).*t
words that start with  'b' and followed by 'rt' and end with  'r',b.*rt.*r
words that start with  'b' and followed by 'rt' and end with  'ri' or 're',b.*rt.*(?:ri|re)
words that start with  'b' and followed by 's' and end with  'rat',b.*s.*rat
words that start with  'b' and followed by 'sh' and end with  'sh',b.*sh.*sh
words that start with  'b' and followed by 'w' and end with  'fa',b.*w.*fa
words that start with  'b' and followed by 'ai' and end with  'b',b.*ai.*b
words that start with  'b' and followed by 'ai' and end with  'bi' or 'be',b.*ai.*(?:bi|be)
words that start with  'b' and followed by 'an' and end with  'daza',b.*an.*daza
words that start with  'b' and followed by 'b' and end with  'ak',b.*b.*ak
words that start with  'b' and followed by 'b' and end with  'aq',b.*b.*aq
words that start with  'b' and followed by 'd' and end with  'gh',b.*d.*gh
words that start with  'b' and followed by 'd' and end with  'r',b.*d.*r
words that start with  'b' and followed by 'g' and 'r' and end with  'z',b.*g.*r.*z
words that start with  'b' and followed by 'g' and 'n' and end with  'h',b.*g.*n.*h
words that start with  'b' and followed by 'h' and end with  'd' or 'dh',b.*h.*(?:d|dh)
words that start with  'b' and followed by 'had' and  'k' and end with  'shi',b.*had.*k.*shi
words that start with  'b' and followed by 'h' and 's' and end with  'ab',b.*h.*s.*ab
words that start with  'b' and followed by 'h' and 'd' and  'ko' and end with  'shish',b.*h.*d.*ko.*shish
words that start with  'b' and followed by 'int' and end with  'ha',b.*int.*ha
words that start with  'b' and followed by 'j' and end with  'rm' or 'ram',b.*j.*(?:rm|ram)
words that start with  'b' and followed by 'kh' and end with  'ti',b.*kh.*ti
words that start with  'b' and followed by 'kh' and end with  'ta',b.*kh.*ta
words that start with  'b' and followed by 'kh' and end with  'tar' or 'ter' or 'tr',b.*kh.*(?:tar|ter|tr)
words that start with  'b' and followed by 'kh' and end with  'f',b.*kh.*f
words that start with  'b' and followed by 'kh' and 'f' and 'o' and end with  'r',b.*kh.*f.*o.*r
words that start with  'b' and followed by 'l' and end with  'ag',b.*l.*ag
words that start with  'b' and followed by 'm' and end with  'l',b.*m.*l
words that start with  'b' and followed by 'm' and 'z' and end with  'rat' or 'rt',b.*m.*z.*(?:rat|rt)
words that start with  'b' and followed by 'n' and end with  'wa',b.*n.*wa
words that start with  'b' and followed by 'q' and end with  'aid',b.*q.*aid
words that start with  'b' and followed by 'sh' and end with  'k',b.*sh.*k
words that start with  'b' and followed by 't' and end with  'kaluf',b.*t.*kaluf
words that start with  'b' and followed by 't' and end with  'kalufi',b.*t.*kalufi
words that start with  'b' and followed by 'z' and end with  'rar',b.*z.*rar
words that start with  'b' and followed by 'd' and 'q' and end with  't',b.*d.*q.*t
words that start with  'b' and followed by 'f' and 'k' and end with  'r',b.*f.*k.*r
words that start with  'b' and followed by 'g' and 'n' and end with  'hi' or 'he',b.*g.*n.*(?:hi|he)
words that start with  'b' and followed by 'h' and end with  'd',b.*h.*d
words that start with  'b' and followed by 'mis' and end with  'al',b.*mis.*al
words that start with  'b' and followed by 'n' and end with  'zeer' or 'zir',b.*n.*(?:zeer|zir)
words that start with  'b' and followed by 'p' and end with  'rwa',b.*p.*rwa
words that start with  'b' and followed by 'qaid' and 'o' and end with  'nd',b.*qaid.*o.*nd
words that start with  'b' and followed by 'k' or 'q' and end with  'soor',b.*[kq].*soor
words that start with  'b' and followed by 'shub',b.*shub
words that start with  'b' and followed by 'd' and end with  'ar',b.*d.*ar
words that start with  'b' and followed by 'd' and end with  'ari',b.*d.*ari
words that start with  'b' and followed by 'hra' and 'm' and end with  'nd',b.*hra.*m.*nd
words that start with  'b' and followed by 'hra' and 'm' and end with  'ndi',b.*hra.*m.*ndi
words that start with  'b' and followed by 'h' and 't' and end with  'r',b.*h.*t.*r
words that start with  'b' and followed by 'h' and 't' and 'r' and end with  'nana',b.*h.*t.*r.*nana
words that start with  'b' and followed by 'h' and 't' and 'r' and end with  'ona',b.*h.*t.*r.*ona
words that start with  'b' and followed by 't' and 'r' and 'karkar' and end with  'dgi' or 'dagi',b.*t.*r.*karkar.*(?:dgi|dagi)
words that start with  'b' and followed by 't' and 'r' and 't' and 'r' and 'q',b.*t.*r.*t.*r.*q
words that start with  'b' and followed by 'h' and 't' and 'r' and end with  'n',b.*h.*t.*r.*n
words that start with  'b' and followed by 'h' and 't' and 'r' and end with  'i' or 'e',b.*h.*t.*r.*[ie]
words that start with  'besh' and followed by 'b' and 'ha',besh.*b.*ha
words that start with  'besh' and followed by 'q' and 'm' and end with  't',besh.*q.*m.*t
words that start with  'besh' and followed by 'q' and 'm' and end with  'ti',besh.*q.*m.*ti
words that start with  'bha' and followed by 'l' and end with  'a',bha.*l.*a
words that start with  'bha' and followed by 'l' and end with  'a',bha.*l.*a
words that start with  'bha' and followed by 'r' and end with  'i' or 'e' or 'y',bha.*r.*[iey]
words that start with  'bha' and followed by 'la' and end with  'i' or 'e' or 'y',bha.*la.*[iey]
words that start with  'bhar' or 'bar' and followed by 'p' and end with  'r',(?:bhar|bar).*p.*r
words that start with  'b' and followed by 'r' and 'k' and end with  'la',b.*r.*k.*la
words that start with  'bha' and followed by 'ro' and 's' and end with  'e' or 'i',bha.*ro.*s.*[ei]
words that start with  'bhar' or 'bar' and followed by 's' and end with  'a',(?:bhar|bar).*s.*a
words that start with  'bhar' and followed by 'p' and end with  'r',bhar.*p.*r
words that start with  'bh' and followed by 'o' or 'u' and end with  'la' or 'lah',bh.*[ou].*(?:la|lah)
words that start with  'bh' and followed by 'o' or 'u' and end with  'li' or 'le',bh.*[ou].*(?:li|le)
words that start with  'bho' and followed by 'bha' and end with  'la',bho.*bha.*la
words that start with  'bho' and followed by 'bha' and end with  'li' or 'le',bho.*bha.*(?:li|le)
words that start with  'bh' and followed by 'o' or 'u' and end with  'la' or 'lah',bh.*[ou].*(?:la|lah)
words that start with  'bila' and followed by 'f' and end with  'rk',bila.*f.*rk
words that start with  'bila' and followed by 'h' and 'j' and end with  't',bila.*h.*j.*t
words that start with  'bila' and followed by 'kh' and 'f' and 'khat' or 'kht',bila.*kh.*f.*(?:khat|kht)
words that start with  'bila' and followed by 'm' and 'kh' and end with  'za',bila.*m.*kh.*za
words that start with  'bila' and followed by 'n' and 'k' and end with  's',bila.*n.*k.*s
words that start with  'bila' and followed by 'sh' and 'b',bila.*sh.*b
words that start with  'bila' and followed by 't' and 'fr' and end with  'k' or 'q',bila.*t.*fr.*[kq]
words that start with  'bila' and followed by 'tar' and 'fd' and end with  'ri' or 'ry',bila.*tar.*fd.*(?:ri|ry)
words that start with  'bila' and followed by 'taw' and 'k' and end with  'f,bila.*taw.*k.*
words that start with  'b' and followed by 'l' and 'k' and end with  'l',b.*l.*k.*l
words that start with  'b' and followed by 'h' and end with  't',b.*h.*t
words that start with  'b' and followed by 'h' and 't' and 'kh' and end with  'ob or 'ub'',b.*h.*t.*kh.*(?:ob or |)
words that start with  'boh' and followed by 'z' and 'ada' and 'shan' and end with  'dar' or 'daar',boh.*z.*ada.*shan.*(?:dar|daar)
words that start with  'b' and followed by 'h' and 't' and end with  'd',b.*h.*t.*d
words that start with  'b' and followed by 'd' and end with  'ya',b.*d.*ya
words that start with  'b' and followed by 'l' and 'n' and end with  'd',b.*l.*n.*d
words that start with  'b' and followed by 'l' and 'nd' and 'hosl' and end with  'gi',b.*l.*nd.*hosl.*gi
words that start with  'b' and followed by 'l' and 'nd' and end with  'tar',b.*l.*nd.*tar
words that start with  'b' and followed by 'l' and 'nd' and end with  'shaan',b.*l.*nd.*shaan
words that start with  'b' and followed by 'l' and 'n' and end with  'di',b.*l.*n.*di
words that start with  'b' and followed by 'n' and 'ya' and end with  'di' or 'de',b.*n.*ya.*(?:di|de)
words that start with  'b' and followed by 'r' and 'b' and end with  'd',b.*r.*b.*d
words that start with  'b' and followed by 'r' and 'b' and end with  'di',b.*r.*b.*di
words that start with  'b' and followed by 'z' and 'r' and end with  'g',b.*z.*r.*g
words that start with  'b' and followed by 'z' and 'r' and end with  'gana',b.*z.*r.*gana
words that start with  'b' and followed by 'z' and 'r' and end with  'gi',b.*z.*r.*gi
words that start with  'ch' and followed by 'k o ch' or 'koch' and end with  'nd',ch.*(?:k o ch|koch).*nd
words that start with  'cha' and followed by 's' and end with  'ni',cha.*s.*ni
words that start with  'chab' and followed by 'kd' and end with  'st',chab.*kd.*st
words that start with  'ch' and followed by 'h' and end with  't',ch.*h.*t
words that start with  'ch' and followed by 'i' or 'y' and end with  'n',ch.*[iy].*n
words that start with  'ch' and followed by 'l' and end with  'k',ch.*l.*k
words that start with  'ch' and followed by 'l' and end with  'ki',ch.*l.*ki
words that start with  'ch' and followed by 'm' and end with  'k',ch.*m.*k
words that start with  'ch' and followed by 'k' and end with  'la',ch.*k.*la
words that start with  'ch' and followed by 'n' and end with  'dah' or 'da',ch.*n.*(?:dah|da)
words that start with  'ch' and followed by 'pl' and end with  'si',ch.*pl.*si
words that start with  'ch' and followed by 'r' and end with  'cha',ch.*r.*cha
words that start with  'ch' and followed by 'tk' and end with  'ra',ch.*tk.*ra
words that start with  'ch' and followed by 'k' and end with  'na',ch.*k.*na
words that start with  'ch' and followed by 'k' and end with  's',ch.*k.*s
words that start with  'da' and followed by 'w' and end with  'a' or 'i' or 'e',da.*w.*[aie]
words that start with  'd' and followed by 'n' and end with  'g',d.*n.*g
words that start with  'd' and followed by 'rkh and end with  'st',d.*.*st
words that start with  'd' and followed by 'r' and end with  'dil',d.*r.*dil
words that start with  'd' and followed by 'stg' and end with  'ir' or 'er',d.*stg.*(?:ir|er)
words that start with  'd' and followed by 'ya' and end with  'nat',d.*ya.*nat
words that start with  'd' and followed by 'da' and end with  'r',d.*da.*r
words that start with  'd' and followed by 'n' and 'd' and end with  'ar',d.*n.*d.*ar
words that start with  'd' and followed by 'rkh' and ''sh' and end with  'nda' or 'dah',d.*rkh.*.*(?:nda|dah)
words that start with  'd' and followed by 'v' or 'w' and end with  'ta',d.*[vw].*ta
words that start with  'dil' and followed by 'far' and end with  'b',dil.*far.*b
words that start with  'dil' and followed by 'far' and end with  'bi',dil.*far.*bi
words that start with  'dil' and followed by 'nash' and end with  'n',dil.*nash.*n
words that start with  'dil' and followed by 'p' and end with  'nd',dil.*p.*nd
words that start with  'd' and followed by 'l' and end with  'r',d.*l.*r
words that start with  'd' and followed by 'lch' and end with  'sp',d.*lch.*sp
words that start with  'dil' and followed by 'paz' and end with  'r',dil.*paz.*r
words that start with  'd' and followed by 'l' and end with  'ri',d.*l.*ri
words that start with  'd' and followed by 'bar' and end with  'a',d.*bar.*a
words that start with  'd' and followed by 'r' or 'and' and end with  'sh',d.*(?:r|and).*sh
words that start with  'd' and followed by 'r' or 'and' and end with  'shi',d.*(?:r|and).*shi
words that start with  'd' and followed by 'u' or 'a' or 'w' and end with  'a',d.*[uaw].*a
words that start with  'd' and followed by 'r' and end with  'st',d.*r.*st
words that start with  'd' and followed by 'r' and end with  'sti',d.*r.*sti
words that start with  'e' or 'i' or 'a' and followed by 'jaz',[eia].*jaz
words that start with  'e' or 'i' or 'a' and followed by 'jad',[eia].*jad
words that start with  'e' or 'i' or 'a' and followed by 'jadi',[eia].*jadi
words that start with  'f' and followed by 'd' and end with  'a',f.*d.*a
words that start with  'fa' and followed by 'kh' and 'r' and end with  'ya' or 'ia',fa.*kh.*r.*(?:ya|ia)
words that start with  'fa' and followed by 'kh' and end with  'r',fa.*kh.*r
words that start with  'fas' and followed by 'h',fas.*h
words that start with  'fat' and followed by 'h',fat.*h
words that start with  'fat' and followed by 'mand',fat.*mand
words that start with  'f' and followed by 'y' or 'i' and end with  'z',f.*[yi].*z
words that start with  'f' and followed by 'h' and end with  'm',f.*h.*m
words that start with  'f' and followed by 'ras' and end with  'at',f.*ras.*at
words that start with  'fo' and followed by 'r' and end with  'i',fo.*r.*i
words that start with  'fo' and followed by 'r' and end with  'n',fo.*r.*n
words that start with  'f' and followed by 'tu' or 'to' and end with  'at',f.*(?:tu|to).*at
words that start with  'g' and followed by 'r' and 'm' and end with  'joshi',g.*r.*m.*joshi
words that start with  'g' and followed by 'r' and 'm' and end with  'joshi',g.*r.*m.*joshi
words that start with  'g' and followed by 'rw' and end with  'da' or 'dah',g.*rw.*(?:da|dah)
words that start with  'g' and followed by 'v' and end with  'ra' or 'rah',g.*v.*(?:ra|rah)
words that start with  'g' and followed by 'hr' and end with  'a',g.*hr.*a
words that start with  'g' and followed by 'hr' and end with  'i',g.*hr.*i
words that start with  'g' and followed by 'hra' and end with  'i' or 'e',g.*hra.*[ie]
words that start with  'g' and followed by 'hra' and end with  'dost',g.*hra.*dost
words that start with  'g' and followed by 'hri' and end with  'dost'i,g.*hri.*dost
words that start with  'gh' and followed by 'r mash' and end with  't',gh.*r mash.*t
words that start with  'gha' and followed by 'm' and end with  'dood' or 'dud',gha.*m.*(?:dood|dud)
words that start with  'g' and followed by 'muta' and end with  'sib',g.*muta.*sib
words that start with  'gham' and followed by 'kh' and end with  'ri',gham.*kh.*ri
words that start with  'g' and followed by 'n' and end with  'i',g.*n.*i
words that start with  'g' and followed by 'z' and end with  'i',g.*z.*i
